server_id,window_start,window_end,avg_cpu,avg_mem,alert
server_1,21:40:50,21:41:20,61.33,59.64,""
server_1,21:41:00,21:41:30,42.6,49.44,""
server_1,21:41:10,21:41:40,44.45,44.03,""
server_1,21:41:20,21:41:50,51.18,52.04,""
server_1,21:41:30,21:42:00,51.83,40.99,""
server_1,21:41:40,21:42:10,45.2,39.45,""
server_1,21:41:50,21:42:20,38.19,37.33,""
server_1,21:42:00,21:42:30,46.13,46.88,""
server_1,21:42:10,21:42:40,57.36,48.89,""
server_1,21:42:20,21:42:50,48.06,40.07,""
server_1,21:42:30,21:43:00,45.29,35.55,""
server_1,21:42:40,21:43:10,41.72,39.92,""
server_1,21:42:50,21:43:20,59.71,51.08,""
server_1,21:43:00,21:43:30,68.3,48.56,""
server_1,21:43:10,21:43:40,77.35,40.0,CPU spike suspected
server_1,21:43:20,21:43:50,64.88,24.99,""
server_1,21:43:30,21:44:00,57.77,34.63,""
server_1,21:43:40,21:44:10,42.67,40.7,""
server_1,21:43:50,21:44:20,49.85,46.63,""
server_1,21:44:00,21:44:30,47.05,43.94,""
server_1,21:44:10,21:44:40,43.55,55.67,""
server_1,21:44:20,21:44:50,30.36,60.07,""
server_1,21:44:30,21:45:00,31.24,57.73,""
server_1,21:44:40,21:45:10,36.38,49.08,""
server_1,21:44:50,21:45:20,49.02,45.35,""
server_1,21:45:00,21:45:30,41.37,50.94,""
server_1,21:45:10,21:45:40,41.27,61.17,""
server_1,21:45:20,21:45:50,42.02,66.62,""
server_1,21:45:30,21:46:00,55.09,62.92,""
server_1,21:45:40,21:46:10,63.1,49.51,""
server_1,21:45:50,21:46:20,57.41,41.53,""
server_1,21:46:00,21:46:30,59.86,41.65,""
server_1,21:46:10,21:46:40,59.86,49.42,""
server_1,21:46:20,21:46:50,63.79,58.21,""
server_1,21:46:30,21:47:00,55.0,55.46,""
server_1,21:46:40,21:47:10,41.03,55.32,""
server_1,21:46:50,21:47:20,43.06,55.06,""
server_1,21:47:00,21:47:30,47.36,72.24,""
server_1,21:47:10,21:47:40,50.92,65.65,""
server_1,21:47:20,21:47:50,38.12,53.03,""
server_1,21:47:30,21:48:00,42.02,38.08,""
server_1,21:47:40,21:48:10,57.69,36.3,""
server_1,21:47:50,21:48:20,79.19,44.01,CPU spike suspected
server_1,21:48:00,21:48:30,71.13,42.29,""
server_1,21:48:10,21:48:40,63.61,60.26,""
server_1,21:48:20,21:48:50,48.27,62.02,""
server_1,21:48:30,21:49:00,61.61,60.5,""
server_1,21:48:40,21:49:10,58.82,48.1,""
server_1,21:48:50,21:49:20,66.1,52.41,""
server_1,21:49:00,21:49:30,62.48,60.37,""
server_1,21:49:10,21:49:40,63.91,57.62,""
server_1,21:49:20,21:49:50,66.01,53.49,""
server_1,21:49:30,21:50:00,66.84,58.02,""
server_1,21:49:40,21:50:10,74.82,66.39,""
server_1,21:49:50,21:50:20,64.91,63.5,""
server_1,21:50:00,21:50:30,65.94,59.74,""
server_1,21:50:10,21:50:40,48.1,54.52,""
server_1,21:50:20,21:50:50,50.6,67.87,""
server_1,21:50:30,21:51:00,36.96,56.61,""
server_1,21:50:40,21:51:10,54.36,65.01,""
server_1,21:50:50,21:51:20,56.86,57.88,""
server_1,21:51:00,21:51:30,65.6,68.53,""
server_1,21:51:10,21:51:40,53.48,60.09,""
server_1,21:51:20,21:51:50,60.45,63.12,""
server_1,21:51:30,21:52:00,63.08,52.71,""
server_1,21:51:40,21:52:10,72.72,45.71,""
server_1,21:51:50,21:52:20,64.2,36.07,""
server_1,21:52:00,21:52:30,50.29,44.62,""
server_1,21:52:10,21:52:40,44.88,50.26,""
server_1,21:52:20,21:52:50,40.25,50.31,""
server_1,21:52:30,21:53:00,51.61,53.11,""
server_1,21:52:40,21:53:10,40.8,61.68,""
server_1,21:52:50,21:53:20,55.25,70.62,""
server_1,21:53:00,21:53:30,57.66,60.68,""
server_1,21:53:10,21:53:40,69.61,53.92,""
server_1,21:53:20,21:53:50,57.42,45.71,""
server_1,21:53:30,21:54:00,50.07,44.91,""
server_1,21:53:40,21:54:10,49.89,46.53,""
server_1,21:53:50,21:54:20,44.77,51.94,""
server_1,21:54:00,21:54:30,36.31,62.78,""
server_1,21:54:10,21:54:40,27.81,67.36,""
server_1,21:54:20,21:54:50,29.62,58.08,""
server_1,21:54:30,21:55:00,33.35,57.57,""
server_1,21:54:40,21:55:10,40.99,50.99,""
server_1,21:54:50,21:55:20,49.14,57.5,""
server_1,21:55:00,21:55:30,60.37,53.96,""
server_1,21:55:10,21:55:40,60.59,55.11,""
server_1,21:55:20,21:55:50,50.08,60.68,""
server_1,21:55:30,21:56:00,41.49,55.28,""
server_1,21:55:40,21:56:10,50.43,61.73,""
server_1,21:55:50,21:56:20,60.4,53.84,""
server_1,21:56:00,21:56:30,57.1,67.43,""
server_1,21:56:10,21:56:40,53.08,62.25,""
server_1,21:56:20,21:56:50,51.43,61.73,""
server_1,21:56:30,21:57:00,56.98,54.12,""
server_1,21:56:40,21:57:10,45.32,44.72,""
server_1,21:56:50,21:57:20,41.19,43.52,""
server_1,21:57:00,21:57:30,43.55,44.09,""
server_1,21:57:10,21:57:40,57.23,54.69,""
server_1,21:57:20,21:57:50,53.46,63.74,""
server_1,21:57:30,21:58:00,52.71,63.61,""
server_1,21:57:40,21:58:10,53.9,67.81,""
server_1,21:57:50,21:58:20,60.26,63.42,""
server_1,21:58:00,21:58:30,59.88,63.7,""
server_1,21:58:10,21:58:40,45.48,49.39,""
server_1,21:58:20,21:58:50,40.01,52.0,""
server_1,21:58:30,21:59:00,30.63,57.29,""
server_1,21:58:40,21:59:10,31.51,77.76,Memory saturation suspected
server_1,21:58:50,21:59:20,35.05,71.94,""
server_1,21:59:00,21:59:30,40.2,67.43,""
server_1,21:59:10,21:59:40,47.67,58.26,""
server_1,21:59:20,21:59:50,42.57,54.22,""
server_1,21:59:30,22:00:00,46.65,47.23,""
server_1,21:59:40,22:00:10,46.39,51.32,""
server_1,21:59:50,22:00:20,53.51,57.82,""
server_1,22:00:00,22:00:30,63.5,69.11,""
server_1,22:00:10,22:00:40,67.2,52.02,""
server_1,22:00:20,22:00:50,75.38,57.22,""
server_1,22:00:30,22:01:00,62.51,51.75,""
server_1,22:00:40,22:01:10,45.14,64.99,""
server_1,22:00:50,22:01:20,32.0,52.34,""
server_1,22:01:00,22:01:30,37.57,56.91,""
server_1,22:01:10,22:01:40,50.59,39.48,""
server_1,22:01:20,22:01:50,50.04,41.83,""
server_1,22:01:30,22:02:00,55.64,27.65,""
server_1,22:01:40,22:02:10,45.54,32.59,""
server_1,22:01:50,22:02:20,46.09,44.76,""
server_1,22:02:00,22:02:30,32.33,51.05,""
server_1,22:02:10,22:02:40,40.93,49.72,""
server_1,22:02:20,22:02:50,53.37,40.38,""
server_1,22:02:30,22:03:00,62.49,43.51,""
server_1,22:02:40,22:03:10,57.41,49.99,""
server_1,22:02:50,22:03:20,52.27,43.62,""
server_1,22:03:00,22:03:30,47.18,40.46,""
server_1,22:03:10,22:03:40,53.55,48.26,""
server_1,22:03:20,22:03:50,47.11,62.86,""
server_1,22:03:30,22:04:00,51.97,57.65,""
server_1,22:03:40,22:04:10,41.63,60.21,""
server_1,22:03:50,22:04:20,37.17,45.18,""
server_1,22:04:00,22:04:30,27.34,46.33,""
server_1,22:04:10,22:04:40,39.36,41.47,""
server_1,22:04:20,22:04:50,50.27,41.45,""
server_1,22:04:30,22:05:00,50.16,53.91,""
server_1,22:04:40,22:05:10,43.13,47.72,""
server_1,22:04:50,22:05:20,47.13,59.55,""
server_1,22:05:00,22:05:30,54.27,43.54,""
server_1,22:05:10,22:05:40,51.26,52.08,""
server_1,22:05:20,22:05:50,46.92,50.66,""
server_1,22:05:30,22:06:00,47.33,57.68,""
server_1,22:05:40,22:06:10,54.57,43.99,""
server_1,22:05:50,22:06:20,53.6,45.67,""
server_1,22:06:00,22:06:30,50.8,48.01,""
server_1,22:06:10,22:06:40,45.92,58.86,""
server_1,22:06:20,22:06:50,45.4,56.51,""
server_1,22:06:30,22:07:00,50.49,47.25,""
server_1,22:06:40,22:07:10,54.54,43.14,""
server_1,22:06:50,22:07:20,49.9,35.49,""
server_1,22:07:00,22:07:30,41.85,52.77,""
server_1,22:07:10,22:07:40,38.91,54.48,""
server_1,22:07:20,22:07:50,41.02,55.79,""
server_1,22:07:30,22:08:00,44.54,42.24,""
server_1,22:07:40,22:08:10,50.09,46.14,""
server_1,22:07:50,22:08:20,59.31,49.66,""
server_1,22:08:00,22:08:30,67.91,63.13,""
server_1,22:08:10,22:08:40,71.03,60.36,""
server_1,22:08:20,22:08:50,71.48,63.04,""
server_1,22:08:30,22:09:00,67.34,45.84,""
server_1,22:08:40,22:09:10,64.92,42.69,""
server_1,22:08:50,22:09:20,73.86,31.95,""
server_1,22:09:00,22:09:30,83.52,37.26,CPU spike suspected
server_1,22:09:10,22:09:40,72.55,30.6,""
server_1,22:09:20,22:09:50,61.95,39.11,""
server_1,22:09:30,22:10:00,48.18,39.96,""
server_1,22:09:40,22:10:10,58.31,38.37,""
server_1,22:09:50,22:10:20,54.23,41.59,""
server_1,22:10:00,22:10:30,45.67,38.3,""
server_1,22:10:10,22:10:40,48.01,47.69,""
server_1,22:10:20,22:10:50,41.46,54.34,""
server_1,22:10:30,22:11:00,66.05,46.86,""
server_1,22:10:40,22:11:10,67.52,52.98,""
server_1,22:10:50,22:11:20,72.92,43.11,""
server_1,22:11:00,22:11:30,62.31,52.21,""
server_1,22:11:10,22:11:40,56.22,39.05,""
server_1,22:11:20,22:11:50,56.69,36.17,""
server_1,22:11:30,22:12:00,49.64,37.96,""
server_1,22:11:40,22:12:10,60.71,35.45,""
server_1,22:11:50,22:12:20,60.84,36.62,""
server_1,22:12:00,22:12:30,65.53,28.78,""
server_1,22:12:10,22:12:40,60.47,44.17,""
server_1,22:12:20,22:12:50,64.16,39.03,""
server_1,22:12:30,22:13:00,67.79,54.72,""
server_1,22:12:40,22:13:10,55.36,62.54,""
server_1,22:12:50,22:13:20,64.98,82.53,Memory saturation suspected
server_1,22:13:00,22:13:30,62.48,66.16,""
server_1,22:13:10,22:13:40,71.08,45.61,""
server_1,22:13:20,22:13:50,61.01,39.1,""
server_1,22:13:30,22:14:00,48.59,55.64,""
server_1,22:13:40,22:14:10,44.15,65.21,""
server_1,22:13:50,22:14:20,38.69,62.48,""
server_1,22:14:00,22:14:30,43.95,50.6,""
server_1,22:14:10,22:14:40,46.35,45.29,""
server_1,22:14:20,22:14:50,45.52,40.36,""
server_1,22:14:30,22:15:00,50.32,46.94,""
server_1,22:14:40,22:15:10,53.83,51.79,""
server_1,22:14:50,22:15:20,58.82,56.89,""
server_1,22:15:00,22:15:30,45.32,55.59,""
server_1,22:15:10,22:15:40,45.15,62.67,""
server_1,22:15:20,22:15:50,30.25,71.12,""
server_1,22:15:30,22:16:00,34.99,64.55,""
server_1,22:15:40,22:16:10,25.07,63.45,""
server_1,22:15:50,22:16:20,45.42,58.61,""
server_1,22:16:00,22:16:30,42.96,68.78,""
server_1,22:16:10,22:16:40,38.19,66.6,""
server_1,22:16:20,22:16:50,19.47,60.88,""
server_1,22:16:30,22:17:00,36.41,56.41,""
server_1,22:16:40,22:17:10,43.76,48.76,""
server_1,22:16:50,22:17:20,58.91,56.88,""
server_1,22:17:00,22:17:30,65.27,72.67,""
server_1,22:17:10,22:17:40,77.22,80.26,High CPU + Memory stress
server_1,22:17:20,22:17:50,72.34,63.11,""
server_1,22:17:30,22:18:00,72.73,46.36,""
server_1,22:17:40,22:18:10,66.42,43.91,""
server_1,22:17:50,22:18:20,70.35,59.88,""
server_1,22:18:00,22:18:30,54.88,59.47,""
server_1,22:18:10,22:18:40,44.18,52.33,""
server_1,22:18:20,22:18:50,34.61,46.55,""
server_1,22:18:30,22:19:00,27.84,41.05,""
server_1,22:18:40,22:19:10,35.58,44.65,""
server_1,22:18:50,22:19:20,44.72,39.44,""
server_1,22:19:00,22:19:30,50.7,47.7,""
server_1,22:19:10,22:19:40,41.76,48.73,""
server_1,22:19:20,22:19:50,39.39,53.87,""
server_1,22:19:30,22:20:00,41.77,50.16,""
server_1,22:19:40,22:20:10,50.26,51.15,""
server_1,22:19:50,22:20:20,52.76,41.17,""
server_1,22:20:00,22:20:30,41.79,59.78,""
server_1,22:20:10,22:20:40,36.05,63.26,""
server_1,22:20:20,22:20:50,41.9,78.25,Memory saturation suspected
server_1,22:20:30,22:21:00,60.57,61.7,""
server_1,22:20:40,22:21:10,68.48,56.91,""
server_1,22:20:50,22:21:20,52.45,46.48,""
server_1,22:21:00,22:21:30,55.05,55.03,""
server_1,22:21:10,22:21:40,52.81,65.63,""
