server_id,window_start,window_end,max_net_in,max_disk_io,alert
server_1,21:05:10,21:05:40,3525.18,573.01,""
server_1,21:05:20,21:05:50,1268.23,1496.16,Disk thrash suspected
server_1,21:05:30,21:06:00,1268.23,1496.16,Disk thrash suspected
server_1,21:05:40,21:06:10,11386.36,1496.16,Network flood + Disk thrash suspected
server_1,21:05:50,21:06:20,11386.36,1201.72,Network flood + Disk thrash suspected
server_1,21:06:00,21:06:30,11386.36,1201.72,Network flood + Disk thrash suspected
server_1,21:06:10,21:06:40,2406.4,1425.13,Disk thrash suspected
server_1,21:06:20,21:06:50,14627.25,1425.13,Network flood + Disk thrash suspected
server_1,21:06:30,21:07:00,14627.25,1425.13,Network flood + Disk thrash suspected
server_1,21:06:40,21:07:10,15712.29,110.59,Possible DDoS
server_1,21:06:50,21:07:20,19053.77,184.89,Possible DDoS
server_1,21:07:00,21:07:30,19053.77,4232.95,Network flood + Disk thrash suspected
server_1,21:07:10,21:07:40,19053.77,4232.95,Network flood + Disk thrash suspected
server_1,21:07:20,21:07:50,1067.86,7235.3,Disk thrash suspected
server_1,21:07:30,21:08:00,1017.84,7235.3,Disk thrash suspected
server_1,21:07:40,21:08:10,604.6,7235.3,Disk thrash suspected
server_1,21:07:50,21:08:20,604.6,5687.59,Disk thrash suspected
server_1,21:08:00,21:08:30,604.6,6847.26,Disk thrash suspected
server_1,21:08:10,21:08:40,911.94,6847.26,Disk thrash suspected
server_1,21:08:20,21:08:50,16899.66,6847.26,Network flood + Disk thrash suspected
server_1,21:08:30,21:09:00,16899.66,165.53,Possible DDoS
server_1,21:08:40,21:09:10,17428.63,3230.2,Network flood + Disk thrash suspected
server_1,21:08:50,21:09:20,17428.63,3230.2,Network flood + Disk thrash suspected
server_1,21:09:00,21:09:30,17428.63,3230.2,Network flood + Disk thrash suspected
server_1,21:09:10,21:09:40,958.45,7555.48,Disk thrash suspected
server_1,21:09:20,21:09:50,15379.78,7555.48,Network flood + Disk thrash suspected
server_1,21:09:30,21:10:00,15379.78,7555.48,Network flood + Disk thrash suspected
server_1,21:09:40,21:10:10,15379.78,3051.31,Network flood + Disk thrash suspected
server_1,21:09:50,21:10:20,10668.09,3051.31,Network flood + Disk thrash suspected
server_1,21:10:00,21:10:30,10668.09,6353.72,Network flood + Disk thrash suspected
server_1,21:10:10,21:10:40,961.88,6353.72,Disk thrash suspected
server_1,21:10:20,21:10:50,894.72,9383.72,Disk thrash suspected
server_1,21:10:30,21:11:00,13777.69,9556.35,Network flood + Disk thrash suspected
server_1,21:10:40,21:11:10,13777.69,9556.35,Network flood + Disk thrash suspected
server_1,21:10:50,21:11:20,19018.7,9556.35,Network flood + Disk thrash suspected
server_1,21:11:00,21:11:30,19018.7,205.75,Possible DDoS
server_1,21:11:10,21:11:40,19018.7,1012.6,Possible DDoS
server_1,21:11:20,21:11:50,17970.7,1012.6,Possible DDoS
server_1,21:11:30,21:12:00,17970.7,1012.6,Possible DDoS
server_1,21:11:40,21:12:10,14311.57,1856.59,Network flood + Disk thrash suspected
server_1,21:11:50,21:12:20,14311.57,1856.59,Network flood + Disk thrash suspected
server_1,21:12:00,21:12:30,1682.67,1856.59,Disk thrash suspected
server_1,21:12:10,21:12:40,6694.17,1372.06,Network flood + Disk thrash suspected
server_1,21:12:20,21:12:50,12924.51,141.23,Possible DDoS
server_1,21:12:30,21:13:00,12924.51,141.23,Possible DDoS
server_1,21:12:40,21:13:10,12924.51,3774.74,Network flood + Disk thrash suspected
server_1,21:12:50,21:13:20,9971.1,3774.74,Network flood + Disk thrash suspected
server_1,21:13:00,21:13:30,9971.1,3774.74,Network flood + Disk thrash suspected
server_1,21:13:10,21:13:40,8490.62,3595.99,Network flood + Disk thrash suspected
server_1,21:13:20,21:13:50,1055.95,3595.99,Disk thrash suspected
server_1,21:13:30,21:14:00,1055.95,3595.99,Disk thrash suspected
server_1,21:13:40,21:14:10,10400.13,126.88,Possible DDoS
server_1,21:13:50,21:14:20,10400.13,126.88,Possible DDoS
server_1,21:14:00,21:14:30,10400.13,991.05,Possible DDoS
server_1,21:14:10,21:14:40,15757.41,991.05,Possible DDoS
server_1,21:14:20,21:14:50,15757.41,991.05,Possible DDoS
server_1,21:14:30,21:15:00,15757.41,1391.43,Network flood + Disk thrash suspected
server_1,21:14:40,21:15:10,4264.21,1391.43,Disk thrash suspected
server_1,21:14:50,21:15:20,4264.21,5170.74,Disk thrash suspected
server_1,21:15:00,21:15:30,611.5,5170.74,Disk thrash suspected
server_1,21:15:10,21:15:40,611.5,9760.08,Disk thrash suspected
server_1,21:15:20,21:15:50,1725.79,9760.08,Disk thrash suspected
server_1,21:15:30,21:16:00,16294.51,9760.08,Network flood + Disk thrash suspected
server_1,21:15:40,21:16:10,16294.51,1296.89,Network flood + Disk thrash suspected
server_1,21:15:50,21:16:20,16294.51,6462.98,Network flood + Disk thrash suspected
server_1,21:16:00,21:16:30,4454.22,6462.98,Disk thrash suspected
server_1,21:16:10,21:16:40,7200.41,7985.31,Network flood + Disk thrash suspected
server_1,21:16:20,21:16:50,7200.41,7985.31,Network flood + Disk thrash suspected
server_1,21:16:30,21:17:00,9821.59,7985.31,Network flood + Disk thrash suspected
server_1,21:16:40,21:17:10,9821.59,6847.85,Network flood + Disk thrash suspected
server_1,21:16:50,21:17:20,9821.59,185.11,Possible DDoS
server_1,21:17:00,21:17:30,12385.13,213.27,Possible DDoS
server_1,21:17:10,21:17:40,12385.13,213.27,Possible DDoS
server_1,21:17:20,21:17:50,12385.13,995.68,Possible DDoS
server_1,21:17:30,21:18:00,3503.01,995.68,""
server_1,21:17:40,21:18:10,3503.01,995.68,""
server_1,21:17:50,21:18:20,3353.27,1394.89,Disk thrash suspected
server_1,21:18:00,21:18:30,3353.27,3840.14,Disk thrash suspected
server_1,21:18:10,21:18:40,3353.27,3840.14,Disk thrash suspected
server_1,21:18:20,21:18:50,587.36,3840.14,Disk thrash suspected
server_1,21:18:30,21:19:00,587.36,182.43,""
server_1,21:18:40,21:19:10,587.36,127.58,""
server_1,21:18:50,21:19:20,503.88,122.32,""
server_1,21:19:00,21:19:30,7867.5,156.68,Possible DDoS
server_1,21:19:10,21:19:40,7867.5,4475.52,Network flood + Disk thrash suspected
server_1,21:19:20,21:19:50,7867.5,4475.52,Network flood + Disk thrash suspected
server_1,21:19:30,21:20:00,2548.86,4475.52,Disk thrash suspected
server_1,21:19:40,21:20:10,2548.86,1395.47,Disk thrash suspected
server_1,21:19:50,21:20:20,961.44,110.49,""
server_1,21:20:00,21:20:30,961.44,109.92,""
server_1,21:20:10,21:20:40,881.73,135.07,""
server_1,21:20:20,21:20:50,943.3,7517.09,Disk thrash suspected
server_1,21:20:30,21:21:00,1012.59,7517.09,Disk thrash suspected
server_1,21:20:40,21:21:10,1012.59,7517.09,Disk thrash suspected
server_1,21:20:50,21:21:20,1012.59,7246.78,Disk thrash suspected
server_1,21:21:00,21:21:30,983.7,7246.78,Disk thrash suspected
server_1,21:21:10,21:21:40,1031.95,7246.78,Disk thrash suspected
server_1,21:21:20,21:21:50,1673.31,1506.71,Disk thrash suspected
server_1,21:21:30,21:22:00,1673.31,1506.71,Disk thrash suspected
server_1,21:21:40,21:22:10,6201.21,1506.71,Disk thrash suspected
server_1,21:21:50,21:22:20,6201.21,166.31,""
server_1,21:22:00,21:22:30,6201.21,9804.78,Disk thrash suspected
server_1,21:22:10,21:22:40,3246.9,9804.78,Disk thrash suspected
server_1,21:22:20,21:22:50,3246.9,9804.78,Disk thrash suspected
server_1,21:22:30,21:23:00,492.28,5663.21,Disk thrash suspected
server_1,21:22:40,21:23:10,969.87,5663.21,Disk thrash suspected
server_1,21:22:50,21:23:20,969.87,5663.21,Disk thrash suspected
server_1,21:23:00,21:23:30,969.87,5189.63,Disk thrash suspected
server_1,21:23:10,21:23:40,5482.91,9268.66,Disk thrash suspected
server_1,21:23:20,21:23:50,5582.65,9268.66,Disk thrash suspected
server_1,21:23:30,21:24:00,5582.65,9268.66,Disk thrash suspected
server_1,21:23:40,21:24:10,11991.17,6038.33,Network flood + Disk thrash suspected
server_1,21:23:50,21:24:20,11991.17,6038.33,Network flood + Disk thrash suspected
server_1,21:24:00,21:24:30,11991.17,6038.33,Network flood + Disk thrash suspected
server_1,21:24:10,21:24:40,11506.3,5755.07,Network flood + Disk thrash suspected
server_1,21:24:20,21:24:50,11506.3,5755.07,Network flood + Disk thrash suspected
server_1,21:24:30,21:25:00,18454.68,185.59,Possible DDoS
server_1,21:24:40,21:25:10,18454.68,163.97,Possible DDoS
server_1,21:24:50,21:25:20,18454.68,134.68,Possible DDoS
server_1,21:25:00,21:25:30,1045.66,6149.72,Disk thrash suspected
server_1,21:25:10,21:25:40,1045.66,6149.72,Disk thrash suspected
server_1,21:25:20,21:25:50,10744.86,6149.72,Network flood + Disk thrash suspected
server_1,21:25:30,21:26:00,10744.86,1852.81,Network flood + Disk thrash suspected
server_1,21:25:40,21:26:10,10744.86,1852.81,Network flood + Disk thrash suspected
server_1,21:25:50,21:26:20,8859.87,4001.19,Network flood + Disk thrash suspected
server_1,21:26:00,21:26:30,2746.56,4001.19,Disk thrash suspected
server_1,21:26:10,21:26:40,2746.56,4001.19,Disk thrash suspected
server_1,21:26:20,21:26:50,2746.56,1556.94,Disk thrash suspected
server_1,21:26:30,21:27:00,2583.23,8510.46,Disk thrash suspected
server_1,21:26:40,21:27:10,17752.77,8510.46,Network flood + Disk thrash suspected
server_1,21:26:50,21:27:20,17752.77,8510.46,Network flood + Disk thrash suspected
server_1,21:27:00,21:27:30,17752.77,110.43,Possible DDoS
server_1,21:27:10,21:27:40,976.7,90.07,""
server_1,21:27:20,21:27:50,976.7,6105.31,Disk thrash suspected
server_1,21:27:30,21:28:00,976.7,6105.31,Disk thrash suspected
server_1,21:27:40,21:28:10,868.27,6105.31,Disk thrash suspected
server_1,21:27:50,21:28:20,885.14,6112.86,Disk thrash suspected
server_1,21:28:00,21:28:30,6813.84,6112.86,Network flood + Disk thrash suspected
server_1,21:28:10,21:28:40,6813.84,9413.5,Network flood + Disk thrash suspected
server_1,21:28:20,21:28:50,15782.04,9413.5,Network flood + Disk thrash suspected
server_1,21:28:30,21:29:00,15782.04,9413.5,Network flood + Disk thrash suspected
server_1,21:28:40,21:29:10,15782.04,1268.79,Network flood + Disk thrash suspected
server_1,21:28:50,21:29:20,10144.21,8437.41,Network flood + Disk thrash suspected
server_1,21:29:00,21:29:30,1018.01,8437.41,Disk thrash suspected
server_1,21:29:10,21:29:40,5948.67,8437.41,Disk thrash suspected
server_1,21:29:20,21:29:50,5948.67,1128.01,""
server_1,21:29:30,21:30:00,5948.67,1128.01,""
server_1,21:29:40,21:30:10,1051.53,1128.01,""
server_1,21:29:50,21:30:20,19624.36,129.84,Possible DDoS
server_1,21:30:00,21:30:30,19624.36,129.84,Possible DDoS
server_1,21:30:10,21:30:40,19624.36,67.2,Possible DDoS
server_1,21:30:20,21:30:50,3156.3,1328.73,Disk thrash suspected
server_1,21:30:30,21:31:00,3156.3,1328.73,Disk thrash suspected
server_1,21:30:40,21:31:10,3156.3,1328.73,Disk thrash suspected
server_1,21:30:50,21:31:20,1010.56,128.73,""
server_1,21:31:00,21:31:30,825.75,5059.29,Disk thrash suspected
server_1,21:31:10,21:31:40,6725.88,5059.29,Network flood + Disk thrash suspected
server_1,21:31:20,21:31:50,6725.88,5059.29,Network flood + Disk thrash suspected
server_1,21:31:30,21:32:00,6725.88,166.37,Possible DDoS
server_1,21:31:40,21:32:10,955.71,122.21,""
server_1,21:31:50,21:32:20,16500.12,122.21,Possible DDoS
server_1,21:32:00,21:32:30,16500.12,1074.26,Possible DDoS
server_1,21:32:10,21:32:40,16500.12,9453.02,Network flood + Disk thrash suspected
server_1,21:32:20,21:32:50,19464.72,9453.02,Network flood + Disk thrash suspected
server_1,21:32:30,21:33:00,19464.72,9453.02,Network flood + Disk thrash suspected
server_1,21:32:40,21:33:10,19464.72,7843.37,Network flood + Disk thrash suspected
server_1,21:32:50,21:33:20,15964.99,7843.37,Network flood + Disk thrash suspected
server_1,21:33:00,21:33:30,586.23,7843.37,Disk thrash suspected
server_1,21:33:10,21:33:40,586.23,9301.09,Disk thrash suspected
server_1,21:33:20,21:33:50,586.23,9301.09,Disk thrash suspected
server_1,21:33:30,21:34:00,1181.39,9301.09,Disk thrash suspected
server_1,21:33:40,21:34:10,1181.39,7130.91,Disk thrash suspected
server_1,21:33:50,21:34:20,1181.39,7130.91,Disk thrash suspected
server_1,21:34:00,21:34:30,990.86,7130.91,Disk thrash suspected
server_1,21:34:10,21:34:40,990.86,111.04,""
server_1,21:34:20,21:34:50,990.86,7720.26,Disk thrash suspected
server_1,21:34:30,21:35:00,905.25,7720.26,Disk thrash suspected
server_1,21:34:40,21:35:10,913.76,7720.26,Disk thrash suspected
server_1,21:34:50,21:35:20,941.15,107.59,""
server_1,21:35:00,21:35:30,2356.22,1204.82,Disk thrash suspected
server_1,21:35:10,21:35:40,2356.22,1204.82,Disk thrash suspected
server_1,21:35:20,21:35:50,2356.22,1204.82,Disk thrash suspected
server_1,21:35:30,21:36:00,991.2,81.12,""
server_1,21:35:40,21:36:10,14110.71,81.12,Possible DDoS
server_1,21:35:50,21:36:20,14110.71,196.76,Possible DDoS
server_1,21:36:00,21:36:30,19839.34,196.76,Possible DDoS
server_1,21:36:10,21:36:40,19839.34,196.76,Possible DDoS
server_1,21:36:20,21:36:50,19839.34,1182.35,Network flood + Disk thrash suspected
server_1,21:36:30,21:37:00,17358.45,1182.35,Network flood + Disk thrash suspected
server_1,21:36:40,21:37:10,2699.67,1182.35,Disk thrash suspected
server_1,21:36:50,21:37:20,927.53,6750.95,Disk thrash suspected
server_1,21:37:00,21:37:30,3223.67,6750.95,Disk thrash suspected
server_1,21:37:10,21:37:40,3223.67,6750.95,Disk thrash suspected
server_1,21:37:20,21:37:50,15457.19,1956.4,Network flood + Disk thrash suspected
server_1,21:37:30,21:38:00,15457.19,159.66,Possible DDoS
server_1,21:37:40,21:38:10,15457.19,132.49,Possible DDoS
server_1,21:37:50,21:38:20,961.59,99.03,""
server_1,21:38:00,21:38:30,17079.65,116.64,Possible DDoS
server_1,21:38:10,21:38:40,17604.59,116.64,Possible DDoS
server_1,21:38:20,21:38:50,17604.59,153.15,Possible DDoS
server_1,21:38:30,21:39:00,17604.59,153.15,Possible DDoS
server_1,21:38:40,21:39:10,991.22,153.15,""
server_1,21:38:50,21:39:20,901.74,126.4,""
server_1,21:39:00,21:39:30,901.74,123.15,""
server_1,21:39:10,21:39:40,968.47,76.0,""
server_1,21:39:20,21:39:50,4875.82,742.83,""
server_1,21:39:30,21:40:00,4875.82,742.83,""
server_1,21:39:40,21:40:10,4875.82,7874.93,Disk thrash suspected
server_1,21:39:50,21:40:20,8636.54,7874.93,Network flood + Disk thrash suspected
server_1,21:40:00,21:40:30,8636.54,7874.93,Network flood + Disk thrash suspected
server_1,21:40:10,21:40:40,8636.54,5881.64,Network flood + Disk thrash suspected
server_1,21:40:20,21:40:50,14069.52,104.86,Possible DDoS
server_1,21:40:30,21:41:00,14069.52,113.3,Possible DDoS
server_1,21:40:40,21:41:10,14069.52,835.72,Possible DDoS
server_1,21:40:50,21:41:20,1726.27,835.72,""
server_1,21:41:00,21:41:30,1726.27,835.72,""
server_1,21:41:10,21:41:40,19662.21,6718.22,Network flood + Disk thrash suspected
server_1,21:41:20,21:41:50,19662.21,6718.22,Network flood + Disk thrash suspected
server_1,21:41:30,21:42:00,19662.21,6718.22,Network flood + Disk thrash suspected
server_1,21:41:40,21:42:10,8758.99,7275.62,Network flood + Disk thrash suspected
server_1,21:41:50,21:42:20,572.92,7275.62,Disk thrash suspected
server_1,21:42:00,21:42:30,4948.41,7275.62,Disk thrash suspected
server_1,21:42:10,21:42:40,4948.41,1603.41,Disk thrash suspected
server_1,21:42:20,21:42:50,4948.41,1603.41,Disk thrash suspected
server_1,21:42:30,21:43:00,4645.8,824.61,""
server_1,21:42:40,21:43:10,4195.98,1572.69,Disk thrash suspected
server_1,21:42:50,21:43:20,4980.13,1572.69,Disk thrash suspected
server_1,21:43:00,21:43:30,4980.13,1791.98,Disk thrash suspected
server_1,21:43:10,21:43:40,7368.93,1791.98,Network flood + Disk thrash suspected
server_1,21:43:20,21:43:50,18571.56,1791.98,Network flood + Disk thrash suspected
server_1,21:43:30,21:44:00,18571.56,175.52,Possible DDoS
server_1,21:43:40,21:44:10,18571.56,128.84,Possible DDoS
server_1,21:43:50,21:44:20,16001.71,630.52,Possible DDoS
server_1,21:44:00,21:44:30,16001.71,1295.45,Network flood + Disk thrash suspected
server_1,21:44:10,21:44:40,16001.71,1295.45,Network flood + Disk thrash suspected
server_1,21:44:20,21:44:50,4193.51,8638.14,Disk thrash suspected
server_1,21:44:30,21:45:00,470.41,8638.14,Disk thrash suspected
server_1,21:44:40,21:45:10,416.86,8638.14,Disk thrash suspected
server_1,21:44:50,21:45:20,19104.89,7692.02,Network flood + Disk thrash suspected
server_1,21:45:00,21:45:30,19104.89,7692.02,Network flood + Disk thrash suspected
server_1,21:45:10,21:45:40,19104.89,1723.49,Network flood + Disk thrash suspected
server_1,21:45:20,21:45:50,17754.92,1723.49,Network flood + Disk thrash suspected
server_1,21:45:30,21:46:00,17754.92,1723.49,Network flood + Disk thrash suspected
server_1,21:45:40,21:46:10,17754.92,1548.81,Network flood + Disk thrash suspected
server_1,21:45:50,21:46:20,18460.93,1548.81,Network flood + Disk thrash suspected
server_1,21:46:00,21:46:30,18460.93,104.15,Possible DDoS
server_1,21:46:10,21:46:40,18460.93,104.15,Possible DDoS
server_1,21:46:20,21:46:50,8900.12,103.87,Possible DDoS
server_1,21:46:30,21:47:00,17398.02,7283.22,Network flood + Disk thrash suspected
server_1,21:46:40,21:47:10,17398.02,7283.22,Network flood + Disk thrash suspected
server_1,21:46:50,21:47:20,17398.02,7283.22,Network flood + Disk thrash suspected
server_1,21:47:00,21:47:30,1095.72,183.79,""
server_1,21:47:10,21:47:40,1095.72,8619.05,Disk thrash suspected
server_1,21:47:20,21:47:50,832.08,8619.05,Disk thrash suspected
server_1,21:47:30,21:48:00,17951.88,8619.05,Network flood + Disk thrash suspected
server_1,21:47:40,21:48:10,17951.88,6182.85,Network flood + Disk thrash suspected
server_1,21:47:50,21:48:20,17951.88,904.96,Possible DDoS
server_1,21:48:00,21:48:30,4020.51,4318.21,Disk thrash suspected
server_1,21:48:10,21:48:40,4020.51,4318.21,Disk thrash suspected
server_1,21:48:20,21:48:50,4020.51,4318.21,Disk thrash suspected
server_1,21:48:30,21:49:00,985.25,151.93,""
server_1,21:48:40,21:49:10,16975.59,151.93,Possible DDoS
server_1,21:48:50,21:49:20,16975.59,151.93,Possible DDoS
server_1,21:49:00,21:49:30,16975.59,97.5,Possible DDoS
server_1,21:49:10,21:49:40,7429.31,97.5,Possible DDoS
server_1,21:49:20,21:49:50,8600.85,97.5,Possible DDoS
server_1,21:49:30,21:50:00,8600.85,106.31,Possible DDoS
server_1,21:49:40,21:50:10,10831.45,109.08,Possible DDoS
server_1,21:49:50,21:50:20,10831.45,9005.32,Network flood + Disk thrash suspected
server_1,21:50:00,21:50:30,10831.45,9005.32,Network flood + Disk thrash suspected
server_1,21:50:10,21:50:40,3247.99,9005.32,Disk thrash suspected
server_1,21:50:20,21:50:50,3247.99,8838.63,Disk thrash suspected
server_1,21:50:30,21:51:00,1026.04,8838.63,Disk thrash suspected
server_1,21:50:40,21:51:10,1026.04,139.91,""
server_1,21:50:50,21:51:20,3931.39,1508.88,Disk thrash suspected
server_1,21:51:00,21:51:30,3931.39,1508.88,Disk thrash suspected
server_1,21:51:10,21:51:40,3931.39,1508.88,Disk thrash suspected
server_1,21:51:20,21:51:50,8827.62,168.72,Possible DDoS
server_1,21:51:30,21:52:00,8827.62,5635.11,Network flood + Disk thrash suspected
server_1,21:51:40,21:52:10,8827.62,5635.11,Network flood + Disk thrash suspected
server_1,21:51:50,21:52:20,7128.55,5635.11,Network flood + Disk thrash suspected
server_1,21:52:00,21:52:30,7128.55,141.56,Possible DDoS
server_1,21:52:10,21:52:40,11807.59,141.56,Possible DDoS
server_1,21:52:20,21:52:50,14818.65,4965.44,Network flood + Disk thrash suspected
server_1,21:52:30,21:53:00,14818.65,4965.44,Network flood + Disk thrash suspected
server_1,21:52:40,21:53:10,14818.65,4965.44,Network flood + Disk thrash suspected
server_1,21:52:50,21:53:20,17805.62,145.77,Possible DDoS
server_1,21:53:00,21:53:30,17805.62,1545.49,Network flood + Disk thrash suspected
server_1,21:53:10,21:53:40,17805.62,4423.65,Network flood + Disk thrash suspected
server_1,21:53:20,21:53:50,4938.72,4423.65,Disk thrash suspected
server_1,21:53:30,21:54:00,14198.81,4423.65,Network flood + Disk thrash suspected
server_1,21:53:40,21:54:10,14198.81,159.33,Possible DDoS
server_1,21:53:50,21:54:20,14198.81,1886.06,Network flood + Disk thrash suspected
server_1,21:54:00,21:54:30,3002.49,1886.06,Disk thrash suspected
server_1,21:54:10,21:54:40,3002.49,1886.06,Disk thrash suspected
server_1,21:54:20,21:54:50,2757.63,5907.33,Disk thrash suspected
server_1,21:54:30,21:55:00,2757.63,5907.33,Disk thrash suspected
server_1,21:54:40,21:55:10,671.93,9694.48,Disk thrash suspected
server_1,21:54:50,21:55:20,946.58,9694.48,Disk thrash suspected
server_1,21:55:00,21:55:30,1029.17,9694.48,Disk thrash suspected
server_1,21:55:10,21:55:40,1029.17,175.17,""
server_1,21:55:20,21:55:50,1029.17,175.17,""
server_1,21:55:30,21:56:00,904.59,175.17,""
server_1,21:55:40,21:56:10,1000.29,159.12,""
server_1,21:55:50,21:56:20,19720.4,159.12,Possible DDoS
server_1,21:56:00,21:56:30,19720.4,1101.92,Possible DDoS
server_1,21:56:10,21:56:40,19720.4,1101.92,Possible DDoS
server_1,21:56:20,21:56:50,13945.78,6255.0,Network flood + Disk thrash suspected
server_1,21:56:30,21:57:00,13945.78,6255.0,Network flood + Disk thrash suspected
server_1,21:56:40,21:57:10,13945.78,6255.0,Network flood + Disk thrash suspected
server_1,21:56:50,21:57:20,695.21,6194.9,Disk thrash suspected
server_1,21:57:00,21:57:30,908.85,5699.9,Disk thrash suspected
server_1,21:57:10,21:57:40,4130.34,4137.05,Disk thrash suspected
server_1,21:57:20,21:57:50,4130.34,1586.04,Disk thrash suspected
server_1,21:57:30,21:58:00,5830.69,1586.04,Disk thrash suspected
server_1,21:57:40,21:58:10,5830.69,1278.1,Disk thrash suspected
server_1,21:57:50,21:58:20,13994.32,845.54,Possible DDoS
server_1,21:58:00,21:58:30,13994.32,845.54,Possible DDoS
